count,mean,std,min,25%,50%,75%,max
2199.0,1.3,1.78,0.02,0.54,0.85,1.3,33.83
2199.0,0.11,0.13,0.01,0.03,0.07,0.13,0.94
2199.0,8732.96,24406.87,1.44,428.49,1656.49,6138.72,555472.09
2199.0,3.98,7.44,0.0,0.88,1.97,4.23,152.28
2199.0,0.1,0.09,0.03,0.05,0.07,0.1,0.76
2199.0,0.06,0.05,0.0,0.02,0.04,0.08,0.54
2153.0,0.02,0.01,0.0,0.01,0.01,0.02,0.07
2199.0,0.39,0.08,0.29,0.33,0.36,0.42,1.0
2199.0,108.68,293.86,0.0,5.22,19.71,74.4,2330.78
2199.0,0.18,0.24,0.0,0.0,0.0,0.36,0.98
