ATTRIBUTE_2,ATTRIBUTE_3,avg_sales_revenue,avg_profit_margin
A2,GROUP_49,20.42,0.79
A18,GROUP_37,1.4,0.55
A8,GROUP_47,19.5,0.55
A17,GROUP_7,3.55,0.4
A8,GROUP_21,4.29,0.39
